Name	Математична логіка та теорія алгоритмів	Соціологія	Іноземна мова1	Математичний аналіз1	Алгебра та геометрія1	Програмування1	Історія України	Іноземна мова2	Основи Інтернет-технологій	Історія української культури	Фізичне виховання	Математичний аналіз2	Алгебра та геометрія2	Дискретна математика	Програмування2	Курсова робота з основи Інтер.техн.
s1	70	100	90	84	62	100	94	95	100	90	89	85.0	68	70	100	94
s2	75	100	100	100	80	80	100	100	100	90	90	90.0	90	85	100	100
s3	70	100	95	96	85	92	100	95	100	90	90	80.0	85	85	100	100
s4	65	100	100	80	65	91	95	100	100	90	95	75.0	65	70	86	96
s5	60	90	100	77	68	75	93	100	95	85	80	76.0	75	75	81	75
s6	70	100	100	100	71	100	100	100	100	90	65	100.0	90	85	100	100
s7	60	75	100	100	90	90	75	97	100	90	90	91.0	90	90	100	90
s8	60	90	100	90	60	61	100	100	100	90	95	90.0	60	74	97	67
s9	60	80	80	65	60	60	70	70	85	60	75		60	60	64	78
s10	60	100	85	60	60	68	75	90	100	60	65	60.0	60	70	100	100
s11	75	100	100	96	62	66	97	95	100	90	75	90.0	65	90	85	80
s12	70	100	100	100	75	94	97	95	100	90	65	100.0	80	70	100	95
s13	60	90	95	75	80	85	97	93	80	70	65	65.0	70	60	80	86
s14	90	100	100	100	94	100	90	100	100	85	65	98.0	90	90	100	100
s15	65	100	100	90	68	60	96	100	100	90	65	100.0	65	70	87	92
s16	60	85	70	60	60	85	70	100	100	60	65	60.0	60	60	99	85
s17	90	100	100	100	90	96	100	100	100	90	90	98.0	90	90	100	96
s18	60	100	95	90	65	100	70	90	100	70	65	60.0	60	70	100	75
s19	75	100	100	86	80	94	100	100	100	90	80	100.0	90	90	96	94
s20	60	100	100	60	60	60	100	90	75	85	65	60.0	60	65	60	78
s21	60	100	70	60	60	70	80	95	100	85	100	60.0	60	60	84	72
