Name	Диференціальні рівняння1	Алгоритми і структури даних	Методи оптимізації та дослідження операцій1	Бази даних та інформаційні системи	Навчальна практика	Математичний аналіз3	Безпека життєдіяльності та охорона праці	Програмні засоби наукових обчислень	Іноземна мова3	Диференціальна геометрія	Системи штучного інтелекту	Теорія ймовірностей	Технології створення програмних продуктів	Курсова робота (ТСПП)	Українська мова (за проф. спрямуванням)	Диференціальні рівняння2	Методи оптимізації та дослідження операцій2	Функціональний аналіз
s1	100	100	94	80.0	85.0	96.0	94	100	95	85	95	90	100	95	100	87	95	80
s2	100	100	100	93.0	80.0	91.0	100	100	100	95	97	90	100	100	100	90	100	100
s3	100	100	100	88.0	90.0	70.0	98	100	100	95	97	74	100	95	95	83	98	60
s22	100	76	99	90.0	85.0	90.0	97	100	100	95	90	90	100	95	100	85	100	90
s5	92	100	97	76.0	80.0	92.0	90	100	100	95	97	85	86	75	90	80	100	70
s6	100	100	97	93.0	90.0	100.0	100	100	100	90	97	90	100	100	100	93	98	100
s7	100	100	100	100.0	95.0	100.0	98	100	100	90	99	90	90	90	90	90	90	100
s8	82	94	98	70.0	75.0	90.0	100	100	100	95	97	89	100	100	92	85	100	90
s9	60	60	84	60.0	85.0		65	60	60	80	60	70	60	60	85	60	82	70
s10	100	98	99	60.0	95.0	76.0	91	92	90	90	81	80	70	65	85	85	91	70
s11	90	84	99	76.0	75.0	90.0	92	95	100	90	95	86	100	100	100	93	97	70
s12	100	100	97	92.0	100.0	100.0	96	100	100	90	100	85	100	100	100	88	99	80
s13	85	100	96	60.0	95.0	60.0	85	83	85	85	70	89	67	75	85	82	85	75
s14	100	100	96	60.0	95.0	100.0	78	78	85	90	60	95	100	90	80	95	95	70
s15	90	90	92	81.0	80.0	100.0	90	99	100	85	97	70	100	90	95	78	99	85
s16	60	84	79	60.0	95.0	60.0	65	70	85	90	91	85	100	100	75	68	98	70
s17	100	98	99	90.0	80.0	90.0	100	90	100	90	97	90	100	100	90	93	99	100
s18	90	100	92	60.0	95.0	60.0	92	100	90	90	70	85	60	60	90	67	87	70
s19	100	94	100	91.0	95.0	100.0	98	100	100	90	100	90	100	100	100	95	99	90
s20	60	70	94	60.0	60.0	60.0	85	73	100	75	75	89	86	85	85	75	96	90
s21	91	100	91	78.0	85.0	80.0	90	91	100	90	75	85	100	95	90	75	94	70
s23	75	65	79	60.0		100.0	70	75	100	90	91	89	95	95	90	78	94	98
s24	85	85	90	64.0	60.0	60.0	92	90	100	90	92	90	80	70	85	85	96	98
s25	75	84	82	60.0	60.0	60.0	92	81	60	80	75	70	100	95	95	75	82	95
s26	65	60	68	60.0	60.0	60.0	75	60	60	80	60	60	60	60	90	62	88	70
s27	80	80	81	76.0	88.0	70.0	96	94	100	80	60	70	94	95	100	63	77	85
s28	90	90	95	100.0	95.0	90.0	85	100	80	95	86	80	100	100	80	87	97	90
s29	85	90	84	65.0		60.0	80	85	80	85	85	85	100	100	77	83	94	80
s30	60	60	76	60.0	60.0	60.0	75	75	60	70	70	70	60	60	75	65	95	80
s31	61	85	72	60.0	60.0	60.0	60	60	75	70	60	70	60	60	60	60	83	80
s32	80	90	83	75.0		70.0	75	85	100	85	95	70	100	95	100	87	100	90
s33	70	75	83		60.0	60.0	75	70	65	70	60	90	60	75	75	82	80	60
s34	85	85	90	64.0	60.0	77.0	90	97	100	85	94	85	80	70	100	85	95	90
s35	60	75	74	60.0	60.0	60.0	70	60	60	70	63	85	60	60	90	60	92	70
