Name	C/к № 1 Математичне моделювання деякиких задач механіки.	C/к № 1 БСА.	Фізика (за вибором)	Економічний аналіз	Педагогіка	Теорія функцій комплексної змінної	Рівняння математичної фізики1	Методи обчислень1	Фінансова і грошова економіка	Математична статистика	Дослідження операцій	Теоретична механіка (за вибором)	Машинне навчання	Навчальна практика	Економічний аналіз (за виб.)	Випадкові процеси (за вибором)	Глибинне навчання (за вибором)	Методика викладання математики (за виб.)	Методика викладання інформатики (за виб.)	С/к № 5 Обробка природної мови (за виб.)	Теорія інформації та кодування (за вибором)	Спецкурс № 2 (за вибором) Васильєв О.Б.	Спецкурс № 2 (за вибором) Реут О.В.	С/к № 3  Реут В.В.                      (за вибором)	СК № 2 Економетрика	С/к № 3  Реут О.В.                      (за вибором)	Спецкурс № 3                                                         Трофимова А.В. (за виб)	Методи обчислень2	Топологія	Системи та методи прийняття рішень (за вибором)	Рівняння математичної фізики2	Обчислювальна геометрія та комп'юте графіка	Захист курсової роботи
s1	90.0	86				95	95	75		95	99.0		95	100		95	84				90	95					100	85.0		92	65	82.0	85.0
s2		98				95	95	90	98.0	95	100.0		100	100		95	93					100					100	85.0		98	85	91.0	97.0
s3		96	95.0			95	95	90		95	100.0	100.0	94	100		100	92				90	100			95		100	90.0		96	100	91.0	98.0
s22		79		90		90	90	90		95	90.0		98	100	98.0	90						75					100	85.0		99	80	95.0	90.0
s5	90.0			75		95	95	85		93	84.0		94	100		90	62									85.0	75	75.0		97	85	71.0	90.0
s6		98				95	95	90	98.0	94	100.0		100	100		95	90					100					100	90.0		100	90	90.0	97.0
s7	90.0		90.0	90		95	95	75		93		91.0	78	100			96				90						97	95.0	90.0	96	100	78.0	100.0
s8	90.0					90	90	90	98.0	95	77.0		100	100		90	94					95	95.0	95				85.0		85	100	90.0	90.0
s9	80.0		62.0			95	95	60		65		61.0	72	100			*					*		70				60.0			75	72.0	65.0
s10	90.0		65.0			60	90	75		93	60.0		75	100		95					80		60.0			60.0		75.0		60	75	64.0	85.0
s11	90.0	90				60	95	90		95	77.0		90	100		95	84				80						100	75.0		90	90	88.0	90.0
s12		97		90		95	95	90		95	96.0		92	100		90	90								95		100	70.0		91	80	86.0	95.0
s13	80.0	60				60	60	75		69			76	100			*				60	60						75.0	85.0	61	70	65.0	75.0
s14		97		85		60	60	80		90	93.0		99	100		85	100			95.0							100	63.0		64	65	87.0	98.0
s15	90.0			75		60	60	75		93	69.0		97	100	90.0	90										80.0	75	63.0		82	80	67.0	90.0
s16		92		100		60	60	90		95	82.0		94	100	80.0		90								94		88	80.0		88	70	72.0	92.0
s17		92				60	60	80	98.0	95	81.0		100	100		85	*					70					70	66.0		74	90	61.0	85.0
s18	90.0		67.0			60	60	70		91		92.0	83	100		90	80			75.0	90						100	80.0		91	85	68.0	85.0
s19		97		100		60	80	90		95	100.0		94	100		95	93								100		100	90.0		92	85	92.0	95.0
s20		74				60	60	70	94.0	91	60.0		88	100		90	60					75					60	61.0		65	85	69.0	80.0
s21		*		*		60	60	65		60	60.0		79	100		65					*				*		*	68.0		*	70		
s23	90.0				85.0	90	95	95		90	70.0		71	100		95	                                             	80.0	100.0		80	85		95				65.0			95	78.0	85.0
s24	85.0				85.0	60	60	75		92		82.0	85	100				88.0	100.0			65		70				70.0		64	90	72.0	75.0
s25	85.0	76				60	60	85		82	69.0		71	100			84				80				60		100	62.0		88	65	73.0	90.0
s26	80.0		80.0			60	75	60		95		98.0	78	100			77				80	60		80				63.0		88	80	66.0	
s27	85.0			90		95	90	95		94	70.0		83	100		90	86				80						100	65.0		90	80	75.0	75.0
s28	80.0				60.0	60	60	60		75		61.0	83	100		*	*	83.0	100.0					*						*	75	60.0	
s29		97			90.0	60	60	75		93	100.0		95	100		90	83	93.0									60	80.0		78	75	67.0	85.0
s30	80.0		62.0			60	70	60		81		85.0	65	100	85.0							60	75.0			60.0		65.0		60	75	71.0	65.0
s31	80.0		68.0			60	60	65		70	70.0		86	100			*				60					60.0	60	60.0		*	65	62.0	65.0
s32	90.0		64.0			60	80	85		93	70.0		92	100		95	73				*		90.0			95.0		67.0		60	100	62.0	100.0
s33	80.0		68.0		60.0	60	60	60		61			77	100			*	97.0				65		70				60.0		60	70	60.0	65.0
s34	90.0		70.0		91.0	60	60	90		92			75	100			83	91.0	100.0			68		70				75.0		63	75	66.0	75.0
s35	85.0	60	65.0		60.0	60	65	60		95			72	100			*				85	60		70				60.0		*	70	60.0	65.0
